epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
244,13910.2,0.72272,0.56657,0.22852,0.79948,0.6059,0.63894,0.38879,0.55256,0.61485,0.22921,9.55951e-05,9.55951e-05,9.55951e-05
245,14141.4,0.72329,0.5652,0.23784,0.80613,0.60806,0.63922,0.38914,0.55172,0.61495,0.22996,9.2704e-05,9.2704e-05,9.2704e-05
246,14372.3,0.72575,0.56181,0.22717,0.80413,0.61039,0.63954,0.38878,0.5514,0.61634,0.22954,8.98581e-05,8.98581e-05,8.98581e-05
247,14603.5,0.71767,0.56244,0.23055,0.80418,0.60953,0.64,0.38953,0.54998,0.61622,0.2295,8.70577e-05,8.70577e-05,8.70577e-05
248,14834.9,0.72056,0.56671,0.2321,0.80073,0.61037,0.64072,0.38966,0.55188,0.6143,0.22987,8.43031e-05,8.43031e-05,8.43031e-05
249,15066.1,0.72972,0.56187,0.23509,0.80257,0.61133,0.64031,0.38852,0.55073,0.61288,0.23146,8.15947e-05,8.15947e-05,8.15947e-05
250,15297,0.74232,0.55629,0.23353,0.79962,0.60945,0.63913,0.38749,0.54977,0.61338,0.23113,7.89327e-05,7.89327e-05,7.89327e-05
251,15528.2,0.72138,0.55361,0.23241,0.79797,0.61064,0.63922,0.38748,0.54923,0.614,0.23126,7.63174e-05,7.63174e-05,7.63174e-05
252,15759.6,0.71649,0.56526,0.2366,0.79925,0.60857,0.63792,0.387,0.54908,0.61517,0.22988,7.37492e-05,7.37492e-05,7.37492e-05
253,15990.9,0.70618,0.56313,0.23642,0.7994,0.60832,0.63882,0.38692,0.54946,0.61383,0.22941,7.12282e-05,7.12282e-05,7.12282e-05
254,16225.2,0.72616,0.55649,0.23512,0.79852,0.60648,0.63898,0.38695,0.54859,0.61475,0.2299,6.87548e-05,6.87548e-05,6.87548e-05
255,16458.6,0.71526,0.56207,0.23588,0.79587,0.60475,0.63472,0.38502,0.55144,0.61153,0.2317,6.63292e-05,6.63292e-05,6.63292e-05
256,16691,0.7201,0.56307,0.23429,0.79171,0.60466,0.63531,0.3855,0.5512,0.61047,0.23189,6.39518e-05,6.39518e-05,6.39518e-05
257,16922.7,0.7176,0.56394,0.22694,0.78746,0.6034,0.63549,0.3854,0.55078,0.60955,0.23236,6.16227e-05,6.16227e-05,6.16227e-05
258,17159,0.68792,0.55794,0.22087,0.79022,0.60651,0.63501,0.38535,0.5504,0.61039,0.23242,5.93422e-05,5.93422e-05,5.93422e-05
259,17394.2,0.6989,0.56264,0.23432,0.80043,0.60338,0.63577,0.38535,0.55,0.61006,0.23239,5.71106e-05,5.71106e-05,5.71106e-05
260,17625.7,0.73518,0.55909,0.23006,0.78793,0.60855,0.63631,0.38583,0.55012,0.60745,0.23054,5.49281e-05,5.49281e-05,5.49281e-05
261,17856.9,0.70093,0.55551,0.22201,0.79534,0.60613,0.63503,0.38583,0.54966,0.60958,0.23018,5.2795e-05,5.2795e-05,5.2795e-05
262,18088.5,0.71243,0.55303,0.22755,0.79728,0.6064,0.63615,0.38659,0.54976,0.60927,0.23022,5.07115e-05,5.07115e-05,5.07115e-05
263,18320,0.7129,0.55345,0.23189,0.78835,0.60862,0.63512,0.38582,0.55119,0.60947,0.23119,4.86777e-05,4.86777e-05,4.86777e-05
264,18551.5,0.71781,0.55678,0.2306,0.79534,0.60572,0.63514,0.38607,0.55166,0.61056,0.23124,4.66941e-05,4.66941e-05,4.66941e-05
265,18782.4,0.70279,0.56592,0.22964,0.79374,0.60423,0.63366,0.38524,0.55174,0.61255,0.23191,4.47606e-05,4.47606e-05,4.47606e-05
266,19013.9,0.709,0.56266,0.23469,0.80374,0.60135,0.6344,0.38546,0.55229,0.6102,0.23218,4.28777e-05,4.28777e-05,4.28777e-05
267,19245.5,0.72141,0.56676,0.23855,0.79402,0.60645,0.63503,0.38531,0.55151,0.61071,0.23282,4.10454e-05,4.10454e-05,4.10454e-05
268,19476.7,0.7078,0.55141,0.22653,0.78881,0.60793,0.63483,0.38514,0.55135,0.6104,0.23296,3.9264e-05,3.9264e-05,3.9264e-05
269,19710.6,0.69496,0.5569,0.23326,0.80858,0.60031,0.63419,0.38542,0.55142,0.61065,0.23238,3.75337e-05,3.75337e-05,3.75337e-05
